zip,merchant_state,merchant_city,latitude,longitude
77057,TX,Houston,29.7437151,-95.4868407
35661,AL,Muscle Shoals,34.7561763,-87.6284014
31404,GA,Savannah,32.043872,-81.0683849
45638,OH,Ironton,38.5409735,-82.6653593
53181,WI,Twin Lakes,42.5213999,-88.2503526
35407,AL,Tuscaloosa,33.2095614,-87.5675258
46322,IN,Highland,41.5483056,-87.4639749
91402,CA,Panorama City,34.2303237,-118.4533681
87020,NM,Grants,35.1512748,-107.8333561
80910,CO,Colorado Springs,38.8144172,-104.7715139
85016,AZ,Phoenix,33.5031262,-112.0311474
10461,NY,Bronx,40.8458588,-73.8411191
46173,IN,Rushville,39.6045993,-85.443404
68422,NE,Pickrell,40.3659435,-96.7008389
32820,FL,Orlando,28.4576345,-81.3522359
70072,LA,Marrero,29.8678088,-90.1094134
17013,PA,Carlisle,40.2004622,-77.1990862
79108,TX,Amarillo,35.2840561,-101.818541
83274,ID,Shelley,43.3830465,-112.1205602
36830,AL,Auburn,32.6035743,-85.4767313
14131,NY,Ransomville,43.2332407,-78.8963513
18018,PA,Bethlehem,40.6273243,-75.394994
95648,CA,Lincoln,38.882011,-121.2923465
74446,OK,Okay,35.850782,-95.317295
49660,MI,Manistee,44.2484837,-86.2879021
49625,MI,Copemish,44.4279316,-85.8848443
66415,KS,Centralia,39.7193747,-96.1134999
60420,IL,Dwight,41.0854197,-88.4428172
94111,CA,San Francisco,37.7951227,-122.4001427
43206,OH,Columbus,39.9421907,-82.9923031
35216,AL,Birmingham,33.4183824,-86.7910231
37086,TN,La Vergne,36.0145442,-86.5655404
79504,TX,Baird,32.39461,-99.3999931
32219,FL,Jacksonville,30.4124326,-81.7691732
02886,RI,Warwick,41.7061554,-71.4708636
17094,PA,Thompsontown,40.5658585,-77.2406394
98027,WA,Issaquah,47.517957,-122.0538246
98082,WA,Mill Creek,47.8577455,-122.2210628
10469,NY,Bronx,40.8697917,-73.8482594
53215,WI,Milwaukee,43.0000348,-87.9431306
97365,OR,Newport,44.6392927,-124.0538355
99829,AK,Hoonah,58.1108219,-135.4454754
74940,OK,Howe,34.9537731,-94.6370861
23692,VA,Yorktown,37.1739622,-76.4579064
15143,PA,Sewickley,40.5682696,-80.1403775
66441,KS,Junction City,39.0245786,-96.8614612
78336,TX,Aransas Pass,27.9133563,-97.1570806
92885,CA,Yorba Linda,33.8888962,-117.8109886
71018,LA,Cotton Valley,32.7881875,-93.4168757
37763,TN,Kingston,35.8465893,-84.5073275
95060,CA,Santa Cruz,37.0196131,-122.0856237
20018,DC,Washington,38.9283981,-76.9742841
70760,LA,New Roads,30.7013372,-91.4391097
15071,PA,Oakdale,40.4041866,-80.1846431
64154,MO,Kansas City,39.2554189,-94.639
85028,AZ,Phoenix,33.5841707,-112.0094559
36877,AL,Smiths Station,32.5380432,-85.0923208
06877,CT,Ridgefield,41.2994598,-73.4992891
55120,MN,Saint Paul,44.871857,-93.1268949
04102,ME,Portland,43.6625183,-70.3076025
54451,WI,Medford,45.1510791,-90.3185452
94022,CA,Los Altos,37.3845151,-122.1123869
98083,WA,Kirkland,32.6743935,-116.4885933
70546,LA,Jennings,30.232174,-92.6585652
93274,CA,Tulare,36.2137097,-119.338657
47436,IN,Heltonville,38.990772,-86.4275275
54526,WI,Glen Flora,45.4925927,-90.8464532
78237,TX,San Antonio,29.4220275,-98.5721924
70582,LA,Saint Martinville,30.1493411,-91.7963925
77429,TX,Cypress,29.9857055,-95.6825695
54479,WI,Spencer,44.7570163,-90.291509
54111,WI,Cecil,44.819702,-88.4159915
98115,WA,Seattle,47.6846373,-122.2999586
87123,NM,Albuquerque,35.0658305,-106.5216961
52501,IA,Ottumwa,41.0166571,-92.4152993
05479,VT,Saint Albans,44.808439,-73.091547
66725,KS,Columbus,37.1720718,-94.8443263
78577,TX,Pharr,26.1818774,-98.1880543
92107,CA,San Diego,32.7399788,-117.2444809
46526,IN,Goshen,41.5701683,-85.8484277
63034,MO,Florissant,38.8314845,-90.2909812
16222,PA,Dayton,40.878593,-79.2420756
30474,GA,Vidalia,32.2143749,-82.4115973
37616,TN,Afton,36.2144983,-82.7436546
43223,OH,Columbus,39.935396,-83.0394251
21211,MD,Baltimore,39.3309283,-76.6334785
14564,NY,Victor,42.9935692,-77.4151331
44445,OH,New Waterford,40.8511738,-80.6224863
30641,GA,Good Hope,33.7664044,-83.5849474
17870,PA,Selinsgrove,40.8189143,-76.8550069
38028,TN,Eads,35.1855862,-89.65121
66538,KS,Seneca,39.8358025,-96.0618977
48219,MI,Detroit,42.4201713,-83.2511081
95341,CA,Merced,37.2845318,-120.4722276
61910,IL,Arcola,39.6799429,-88.2995537
54311,WI,Green Bay,44.4855736,-87.9351517
70526,LA,Crowley,30.2149116,-92.372971
48442,MI,Holly,42.7896351,-83.6164901
02128,MA,Boston,42.3765009,-71.0308885
98310,WA,Bremerton,47.5907178,-122.625617
15136,PA,Mc Kees Rocks,40.4735104,-80.0815536
07081,NJ,Springfield,40.7063465,-74.321387
38504,TN,Allardt,36.3836092,-84.8093452
05829,VT,Derby,44.9507762,-72.1030526
56579,MN,Rothsay,46.4786389,-96.2821095
06255,CT,North Grosvenordale,41.9885599,-71.8980663
60942,IL,Hoopeston,40.466746,-87.6577987
06001,CT,Avon,41.7913086,-72.8666905
79707,TX,Midland,32.0211948,-102.1554558
18202,PA,Hazleton,40.9718034,-75.9960778
92118,CA,Coronado,32.6791034,-117.1709788
64489,MO,Stanberry,40.2261268,-94.5657184
54112,WI,Coleman,45.0610585,-88.0511079
07866,NJ,Rockaway,40.9143348,-74.5160202
48122,MI,Melvindale,42.2802657,-83.1798179
36054,AL,Millbrook,32.4983716,-86.3692079
76137,TX,Fort Worth,32.8630262,-97.28968
15062,PA,Monessen,40.1529753,-79.8822954
76117,TX,Haltom City,32.8056929,-97.2755942
67207,KS,Wichita,37.672965,-97.2278419
12208,NY,Albany,42.6562262,-73.7990588
40107,KY,Boston,37.7447535,-85.6207481
27317,NC,Randleman,35.817923,-79.8017709
15955,PA,Sidman,40.324133,-78.7323425
60512,IL,Bristol,41.6931687,-88.4185394
97229,OR,Portland,45.5495716,-122.8218518
03842,NH,Hampton,42.9372154,-70.8286033
37708,TN,Bean Station,36.3276814,-83.3102313
32805,FL,Orlando,28.5351523,-81.4009991
78576,TX,Penitas,26.2710915,-98.4416882
61863,IL,Pesotum,39.9053214,-88.2697734
29673,SC,Piedmont,34.721563,-82.4340919
75650,TX,Hallsville,32.5039407,-94.5763325
43615,OH,Toledo,41.6527669,-83.6968637
90291,CA,Venice,33.9946663,-118.4649454
74450,OK,Oktaha,35.5855387,-95.4686592
78573,TX,Mission,26.2590316,-98.3122218
98346,WA,Kingston,47.8067725,-122.5151603
06488,CT,Southbury,41.4748518,-73.2148689
66083,KS,Spring Hill,38.7389019,-94.8374193
48878,MI,Rosebush,43.7079163,-84.7561231
88012,NM,Las Cruces,32.3794423,-106.7547248
67357,KS,Parsons,37.3389143,-95.2730812
16052,PA,Prospect,40.9018285,-80.0533344
32127,FL,Port Orange,29.112007,-80.9869483
07860,NJ,Newton,41.0676675,-74.793557
68660,NE,Saint Edward,41.5699857,-97.8549634
91011,CA,La Canada Flintridge,34.2104132,-118.1941415
56560,MN,Moorhead,46.836023,-96.756293
93722,CA,Fresno,36.8240995,-119.8880708
67206,KS,Wichita,37.708163,-97.2310933
90064,CA,Los Angeles,34.0441814,-118.3757434
61841,IL,Fairmount,40.0424534,-87.8170991
80403,CO,Golden,39.7706947,-105.2322217
93701,CA,Fresno,36.7469117,-119.7918854
76207,TX,Denton,33.2627277,-97.124334
74538,OK,Coalgate,34.5359396,-96.2125199
36037,AL,Greenville,31.8255059,-86.6217234
78729,TX,Austin,30.4554633,-97.7698557
56601,MN,Bemidji,47.4919895,-94.8632181
68402,NE,Malcolm,40.9223913,-96.851078
11787,NY,Smithtown,40.8518875,-73.2049944
15217,PA,Pittsburgh,40.4317272,-79.925721
49629,MI,Elk Rapids,44.8929889,-85.3913003
14092,NY,Lewiston,43.1735022,-79.0238895
40601,KY,Frankfort,38.1954232,-84.8673089
35079,AL,Hayden,33.9242825,-86.7678346
06117,CT,West Hartford,41.7897475,-72.7472142
91933,CA,Imperial Beach,32.583893,-117.1130487
64127,MO,Kansas City,39.0854479,-94.5377078
30106,GA,Austell,33.8384147,-84.6193837
15550,PA,Manns Choice,39.992466,-78.6487913
10027,NY,New York,40.8104647,-73.9505307
33706,FL,Saint Petersburg,27.7342527,-82.7450997
